type,symbol,quantity,average_cost,last_price,notes
cash,CASH,,,116838.39,cash available for planning
position,AAPL,0.01,272.0000,293.4700,
position,AMD,3,323.8900,450.4500,
position,AMZN,0.01,222.0000,268.1500,
position,AVGO,0.099,346.0600,427.0100,
position,EPAM,2,219.1500,97.3500,
position,IBRX,10,7.0400,8.1000,
position,IREN,1,60.5900,55.0500,
position,JPM,0.011,166.2800,300.0000,
position,MP,5,72.3200,67.0700,
position,MSFT,0.049,402.5400,412.5000,
position,MU,1,661.7100,774.5200,
position,NVDA,1.01,213.4100,218.2200,
position,PL,10,38.4700,40.9600,
position,RKLB,5,86.4900,112.9900,
position,SEI,0.705,73.3400,75.5600,
position,SNDK,1,1398.9900,1491.6500,
position,SPY,1.003,711.0500,738.1800,
position,SWMR,5,29.1800,33.1400,
position,TSM,0.515,419.5000,403.6900,
position,VOO,0.1,679.4000,678.5600,
position,VPU,1.007,199.9200,197.5700,
